sofifa_id,short_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,player_positions,preferred_foot,international_reputation,contract_valid_until
134956,L. Cana,30,27/07/1983,186,77,Albania,Lazio,77,77,CB,Right,2,2016
184881,S. Feghouli,24,26/12/1989,177,71,Algeria,Valencia CF,81,88,"RM, RW",Right,2,2016
184267,Y. Brahimi,24,08/02/1990,175,66,Algeria,FC Porto,77,81,"LW, RW",Right,2,2019
201454,F. Ghoulam,23,01/02/1991,188,80,Algeria,Napoli,75,81,LB,Left,1,2018
201143,A. Mandi,22,22/10/1991,184,78,Algeria,Stade de Reims,75,79,"RB, CB",Right,1,2017
209473,N. Ghilas,24,20/04/1990,183,85,Algeria,Cordoba CF,75,79,"ST, RW",Right,1,2015
217699,I. Slimani,26,18/06/1988,188,79,Algeria,Sporting CP,75,78,ST,Right,2,2017
158023,L. Messi,27,24/06/1987,169,67,Argentina,FC Barcelona,93,95,CF,Left,5,2018
170481,E. Garay,27,10/10/1986,188,80,Argentina,Zenit St. Petersburg,83,85,CB,Right,3,2019
142754,J. Mascherano,30,08/06/1984,174,74,Argentina,FC Barcelona,83,83,CB,Right,3,2018
142784,P. Zabaleta,29,16/01/1985,178,76,Argentina,Manchester City,82,82,RB,Right,3,2017
152999,R. Palacio,32,05/02/1982,175,70,Argentina,Inter,82,82,ST,Right,2,2016
159065,E. Lavezzi,29,03/05/1985,173,75,Argentina,Paris Saint-Germain,82,82,"LW, ST",Right,3,2016
178562,E. Banega,26,29/06/1988,174,71,Argentina,Sevilla FC,80,85,"CM, CDM",Right,2,2016
192366,N. Otamendi,26,12/02/1988,183,75,Argentina,Valencia CF,80,84,CB,Right,2,2019
179847,F. Fazio,27,17/03/1987,195,91,Argentina,Tottenham Hotspur,80,80,CB,Right,2,2018
188791,A. Costa,29,09/01/1985,176,75,Argentina,Spartak Moscow,80,80,CM,Left,2,2017
186547,M. Musacchio,23,26/08/1990,182,80,Argentina,Villarreal CF,79,85,"CB, CDM",Right,1,2018
191180,J. Pastore,25,20/06/1989,187,78,Argentina,Paris Saint-Germain,79,85,"CM, LM",Right,3,2016
190972,E. Salvio,23,13/07/1990,171,70,Argentina,SL Benfica,79,84,RM,Right,2,2017
201862,M. Rojo,24,20/03/1990,186,82,Argentina,Manchester United,79,82,"CB, LB",Left,3,2019
48745,F. Coloccini,32,22/01/1982,184,83,Argentina,Newcastle United,79,79,CB,Right,3,2016
134979,M. Demichelis,33,20/12/1980,184,78,Argentina,Manchester City,79,79,CB,Right,3,2015
139062,W. Caballero,32,28/09/1981,186,80,Argentina,Manchester City,79,79,GK,Right,2,2017
170368,E. Lamela,22,04/03/1992,183,70,Argentina,Tottenham Hotspur,78,84,"RM, CAM",Left,2,2018
183899,P. Piatti,25,31/03/1989,163,63,Argentina,Valencia CF,78,83,"LW, LM, CF, RW",Left,2,2016
138123,E. Cambiasso,33,18/08/1980,177,78,Argentina,Leicester City,78,78,"CDM, CM",Left,2,2015
142708,D. Milito,35,12/06/1979,183,78,Argentina,Racing Club,78,78,ST,Right,2,2015
165501,N. Pareja,30,19/01/1984,181,74,Argentina,Sevilla FC,78,78,CB,Right,2,2017
199151,J. Iturbe,21,04/06/1993,172,68,Argentina,Roma,77,88,RW,Left,1,2019
193061,R. Pereyra,23,07/01/1991,184,78,Argentina,Juventus,77,83,"CM, CAM, CF",Right,1,2015
179696,E. Insua,25,07/01/1989,179,85,Argentina,Rayo Vallecano,77,82,LB,Left,2,2015
173306,C. Ansaldi,27,20/09/1986,181,76,Argentina,Atletico Madrid,77,80,LB,Left,2,2015
184252,L. Pratto,26,04/06/1988,188,82,Argentina,VÃ©lez Sarsfield,77,78,ST,Right,1,2018
123603,H. Campagnaro,34,27/06/1980,181,85,Argentina,Inter,77,77,CB,Right,2,2015
142938,G. Denis,32,10/09/1981,182,87,Argentina,Atalanta,77,77,ST,Right,2,2015
143121,J. Sosa,29,19/06/1985,181,77,Argentina,Besiktas,77,77,"RM, CAM, CF",Right,2,2015
158963,L. Biglia,28,30/01/1986,178,74,Argentina,Lazio,77,77,CM,Right,2,2018
172114,D. Valeri,28,01/05/1986,178,75,Argentina,Portland Timbers,77,77,"CAM, RW",Right,2,2021
183893,C. Yacob,26,18/07/1987,181,73,Argentina,West Bromwich Albion,77,77,"CDM, CM",Right,2,2015
201399,M. Icardi,21,19/02/1993,181,75,Argentina,Inter,76,86,ST,Right,1,2018
215316,G. Rulli,22,20/05/1992,189,80,Argentina,Real Sociedad,76,83,GK,Right,1,2020
23461,W. Samuel,36,23/03/1978,184,81,Argentina,FC Basel 1893,76,76,CB,Left,2,2015
160741,D. Abraham,27,15/07/1986,188,85,Argentina,TSG 1899 Hoffenheim,76,76,CB,Right,2,2016
165517,F. Gago,28,10/04/1986,178,70,Argentina,Boca Juniors,76,76,CM,Right,3,2016
176376,I. Piatti,29,04/02/1985,180,76,Argentina,Montreal Impact,76,76,"LM, CAM",Right,2,2015
214997,A. Correa,19,09/03/1995,176,70,Argentina,San Lorenzo de Almagro,75,86,"CAM, ST",Right,1,2020
205632,L. Ocampos,19,11/07/1994,187,84,Argentina,AS Monaco,75,80,"RW, LW",Right,1,2017
186405,F. Di Santo,25,07/04/1989,193,88,Argentina,SV Werder Bremen,75,79,ST,Right,1,2016
183969,J. Forlin,26,10/01/1988,180,71,Argentina,Boca Juniors,75,77,CB,Right,1,2018
200875,E. Gigliotti,27,20/05/1987,187,82,Argentina,Boca Juniors,75,76,ST,Right,1,2019
215071,M. Casco,26,11/04/1988,169,71,Argentina,Newell's Old Boys,75,76,LB,Right,1,2016
49212,J. Speroni,35,18/05/1979,186,87,Argentina,Crystal Palace,75,75,GK,Right,1,2015
138798,G. Lux,32,07/06/1982,186,77,Argentina,Deportivo La Coruna,75,75,GK,Right,1,2016
142721,M. Barovero,30,18/02/1984,181,74,Argentina,River Plate,75,75,GK,Right,1,2016
142781,L. Romagnoli,33,17/03/1981,172,68,Argentina,San Lorenzo de Almagro,75,75,"CAM, RM",Right,1,2016
143102,D. Colotto,33,10/03/1981,184,81,Argentina,RCD Espanyol,75,75,CB,Right,2,2015
152997,D. Cvitanich,30,16/05/1984,174,72,Argentina,OGC Nice,75,75,ST,Right,2,2015
165520,E. Scarione,28,14/07/1985,179,71,Argentina,KasimpaÅŸa SK,75,75,CAM,Right,1,2016
171828,I. Scocco,29,29/05/1985,175,71,Argentina,Newell's Old Boys,75,75,ST,Right,2,2021
185061,J. Morales,34,10/01/1980,175,65,Argentina,Real Salt Lake,75,75,CAM,Right,1,2018
216692,S. Torrico,34,22/02/1980,186,84,Argentina,San Lorenzo de Almagro,75,75,GK,Right,1,2016
216796,F. Cartabia,21,20/01/1993,170,65,Argentina,Cordoba CF,74,82,"LM, RM",Left,1,2015
192883,H. Mkhitaryan,25,21/01/1989,178,72,Armenia,Borussia Dortmund,81,85,"CAM, LM, RM",Right,2,2017
176270,Y. Movsisyan,26,02/08/1987,181,81,Armenia,Spartak Moscow,78,82,ST,Right,1,2017
684,M. Schwarzer,41,06/10/1972,194,95,Australia,Chelsea,76,76,GK,Right,2,2015
197445,D. Alaba,22,24/06/1992,180,75,Austria,FC Bayern Munchen,82,87,"LB, CM, CDM, LM",Left,3,2018
1611,M. Stranzl,34,16/06/1980,191,83,Austria,Borrusia Munchengladbach,78,78,CB,Right,2,2015
173467,V. Kavlak,25,03/11/1988,178,68,Austria,Besiktas,76,79,"CDM, CM",Right,1,2015
177666,M. Harnik,27,10/06/1987,185,75,Austria,VfB Stuttgart,76,79,"RM, RW, ST, LM",Right,2,2016
42521,A. Ivanschitz,30,15/10/1983,184,82,Austria,Levante UD,76,76,"LM, CAM",Left,2,2016
189606,J. Baumgartlinger,26,02/01/1988,183,82,Austria,1. FSV Mainz 05,75,78,"CDM, CM",Right,1,2015
183277,E. Hazard,23,07/01/1991,173,74,Belgium,Chelsea,88,90,"LM, RM",Right,4,2017
192119,T. Courtois,22,11/05/1992,199,88,Belgium,Chelsea,86,90,GK,Left,3,2019
139720,V. Kompany,28,10/04/1986,192,85,Belgium,Manchester City,86,86,CB,Right,4,2019
175943,D. Mertens,27,06/05/1987,169,61,Belgium,Napoli,82,85,CAM,Right,2,2018
172871,J. Vertonghen,27,24/04/1987,189,86,Belgium,Tottenham Hotspur,82,84,"CB, LB",Left,3,2016
173426,S. Mignolet,26,06/03/1988,193,87,Belgium,Liverpool,82,83,GK,Right,3,2017
192985,K. De Bruyne,23,28/06/1991,181,76,Belgium,VfL Wolfsburg,81,86,"CAM, LM, RM",Right,2,2019
192505,R. Lukaku,21,13/05/1993,190,94,Belgium,Everton,80,86,ST,Left,3,2019
177413,A. Witsel,25,12/01/1989,186,73,Belgium,Zenit St. Petersburg,80,85,"CM, CDM",Right,2,2017
184111,C. Benteke,23,03/12/1990,190,83,Belgium,Aston Villa,80,85,ST,Right,3,2017
172175,K. Mirallas,26,05/10/1987,178,70,Belgium,Everton,80,81,RM,Right,2,2016
178518,R. Nainggolan,26,04/05/1988,176,65,Belgium,Roma,79,81,CM,Right,2,2018
176944,M. Fellaini,26,22/11/1987,194,85,Belgium,Manchester United,79,80,"CDM, CM",Right,3,2018
157304,T. Vermaelen,28,14/11/1985,182,75,Belgium,FC Barcelona,79,79,"CB, LB",Left,2,2019
184087,T. Alderweireld,25,02/03/1989,187,80,Belgium,Southampton,78,82,CB,Right,2,2015
200529,N. Chadli,24,02/08/1989,187,80,Belgium,Tottenham Hotspur,77,80,"LM, CAM, RM",Right,2,2017
163492,N. Lombaerts,29,20/03/1985,188,83,Belgium,Zenit St. Petersburg,77,77,CB,Left,2,2018
203486,T. Hazard,21,29/03/1993,174,69,Belgium,Borrusia Munchengladbach,76,84,"CAM, LM",Right,1,2015
170815,S. Defour,26,15/04/1988,173,64,Belgium,RSC Anderlecht,76,78,"CM, CDM",Right,2,2019
208330,A. Januzaj,19,05/02/1995,180,75,Belgium,Manchester United,75,87,"LM, RM, CAM",Left,1,2018
213135,D. Origi,19,18/04/1995,185,75,Belgium,LOSC Lille,75,85,"LW, CF",Right,1,2015
204529,M. Batshuayi,20,02/10/1993,185,78,Belgium,Olympique de Marseille,75,83,ST,Right,1,2019
192537,M. Lestienne,22,17/06/1992,176,63,Belgium,Genoa,75,82,LW,Left,1,2017
177390,H. Medunjanin,29,08/03/1985,188,76,Bosnia Herzegovina,Deportivo La Coruna,75,75,"CM, CAM, CDM",Left,2,2017
164240,Thiago Silva,29,22/09/1984,183,79,Brazil,Paris Saint-Germain,87,87,CB,Right,4,2018
190871,Neymar,22,05/02/1992,175,64,Brazil,FC Barcelona,86,91,LW,Right,5,2018
188152,Oscar,22,09/09/1991,179,67,Brazil,Chelsea,84,87,"CAM, RM",Right,3,2015
146530,Dani Alves,31,06/05/1983,173,64,Brazil,FC Barcelona,83,83,RB,Right,4,2015
168609,Miranda,29,07/09/1984,186,76,Brazil,Atletico Madrid,83,83,CB,Right,3,2016
189362,Hulk,27,25/07/1986,180,85,Brazil,Zenit St. Petersburg,83,83,"RW, ST, RM",Left,3,2017
200949,Lucas,21,13/08/1992,172,72,Brazil,Paris Saint-Germain,82,87,"RW, RM",Right,2,2017
176676,Marcelo,26,12/05/1988,174,75,Brazil,Real Madrid,82,85,LB,Left,3,2018
180403,Willian,25,09/08/1988,175,75,Brazil,Chelsea,82,84,"RM, CAM",Right,2,2018
179944,David Luiz,27,22/04/1987,189,84,Brazil,Paris Saint-Germain,82,83,CB,Right,4,2019
185221,Luiz Gustavo,26,23/07/1987,187,80,Brazil,VfL Wolfsburg,82,83,CDM,Left,3,2018
136130,Alex,32,17/06/1982,188,92,Brazil,Milan,82,82,CB,Right,3,2016
136138,Diego,29,28/02/1985,173,73,Brazil,Fenerbahce,82,82,"CAM, LM, RM",Right,3,2017
158625,Dante,30,18/10/1983,188,87,Brazil,FC Bayern Munchen,82,82,CB,Left,3,2017
180432,Hernanes,29,29/05/1985,180,76,Brazil,Inter,82,82,"CM, CAM",Right,3,2018
189242,Coutinho,22,12/06/1992,171,71,Brazil,Liverpool,81,86,"CAM, LW, CM",Right,2,2017
201942,Roberto Firmino,22,02/10/1991,181,76,Brazil,TSG 1899 Hoffenheim,81,85,"CAM, CF",Right,2,2017
184943,Ramires,27,24/03/1987,180,70,Brazil,Chelsea,81,82,"CDM, CM",Right,3,2017
135475,Felipe Melo,31,26/06/1983,183,80,Brazil,Galatasaray SK,81,81,"CDM, CM",Right,3,2016
135507,Fernandinho,29,04/05/1985,176,67,Brazil,Manchester City,81,81,"CM, CDM",Right,3,2017
165580,Diego Alves,29,24/06/1985,188,83,Brazil,Valencia CF,81,81,GK,Left,2,2019
205525,Bernard,21,08/09/1992,164,57,Brazil,Shakhtar Donetsk,80,86,CAM,Right,2,2018
187961,Paulinho,25,25/07/1988,181,77,Brazil,Tottenham Hotspur,80,85,"CM, CDM",Right,3,2018
190483,Douglas Costa,23,14/09/1990,170,73,Brazil,Shakhtar Donetsk,80,84,"CAM, RW",Left,1,2018
28130,Ronaldinho,34,21/03/1980,182,80,Brazil,Quera,80,80,CAM,Right,3,2016
144622,Raffael,29,28/03/1985,174,69,Brazil,Borrusia Munchengladbach,80,80,"CF, ST, CAM",Right,2,2017
171919,Naldo,31,10/09/1982,198,89,Brazil,VfL Wolfsburg,80,80,CB,Right,3,2015
191043,Alex Sandro,23,26/01/1991,180,78,Brazil,FC Porto,79,84,LB,Left,2,2016
184134,Fernando,26,25/07/1987,185,76,Brazil,Manchester City,79,83,"CDM, CM",Right,2,2018
188081,Alex Teixeira,24,06/01/1990,173,70,Brazil,Shakhtar Donetsk,79,82,"CAM, CDM",Right,1,2018
190782,Sandro,25,15/03/1989,187,75,Brazil,Queens Park Rangers,79,81,"CDM, CM",Right,2,2017
135455,Maicon,32,26/07/1981,184,77,Brazil,Roma,79,79,RB,Right,3,2015
139094,Helton,36,18/05/1978,189,80,Brazil,FC Porto,79,79,GK,Right,2,2015
176266,Lucas Leiva,27,09/01/1987,179,73,Brazil,Liverpool,79,79,"CDM, CM",Right,3,2017
176769,Jonas,30,01/04/1984,181,73,Brazil,SL Benfica,79,79,"ST, CAM",Right,2,2016
207865,Marquinhos,20,14/05/1994,183,75,Brazil,Paris Saint-Germain,78,86,CB,Right,2,2018
200752,Juan Jesus,23,10/06/1991,185,83,Brazil,Inter,78,84,CB,Left,1,2016
188803,Taison,26,13/01/1988,172,64,Brazil,Shakhtar Donetsk,78,82,"CAM, LW",Right,1,2017
201400,Rafinha,21,12/02/1993,177,70,Brazil,FC Barcelona,78,82,"CAM, CM, RM, RW",Left,1,2019
180695,Lima,30,11/08/1983,178,78,Brazil,SL Benfica,78,78,ST,Right,2,2016
185000,Thiago Neves,29,27/02/1985,182,70,Brazil,Al Hilal,78,78,"CAM, LM, RM",Left,2,2016
199304,Danilo,22,15/07/1991,184,76,Brazil,FC Porto,77,84,RB,Right,2,2016
189681,Rafael,23,09/07/1990,172,78,Brazil,Manchester United,77,82,RB,Right,2,2016
191687,Maicon,25,14/09/1988,191,82,Brazil,FC Porto,77,80,CB,Right,2,2017
53405,Maxwell,32,27/08/1981,176,73,Brazil,Paris Saint-Germain,77,77,LB,Left,2,2015
153260,Hilton,36,13/09/1977,180,77,Brazil,Montpellier HSC,77,77,CB,Right,2,2015
165816,Jonathan,28,27/02/1986,170,72,Brazil,Inter,77,77,RM,Right,1,2015
168607,Rafinha,28,07/09/1985,172,68,Brazil,FC Bayern Munchen,77,77,RB,Right,2,2017
173228,Siqueira,28,28/04/1986,184,76,Brazil,Atletico Madrid,77,77,LB,Left,2,2018
177649,Rafinha,30,04/08/1983,167,61,Brazil,Al Shabab,77,77,"LM, CAM, RM",Right,1,2018
180714,Guilherme,28,12/12/1985,197,78,Brazil,Lokomotiv Moscow,77,77,GK,Right,2,2016
180826,Luiz Adriano,27,12/04/1987,183,76,Brazil,Shakhtar Donetsk,77,77,ST,Right,1,2015
203038,Lucas Piazon,20,20/01/1994,182,75,Brazil,Eintracht Frankfurt,76,86,"LW, LM",Right,1,2015
202642,Fernando,22,03/03/1992,174,66,Brazil,Shakhtar Donetsk,76,84,"CDM, CM",Right,1,2017
194404,Neto,24,19/07/1989,191,83,Brazil,Fiorentina,76,81,GK,Right,1,2015
200145,Casemiro,22,23/02/1992,184,80,Brazil,FC Porto,76,80,"CDM, CM",Right,1,2015
187323,Henrique,27,14/10/1986,185,73,Brazil,Napoli,76,77,"CB, CDM, RB",Right,2,2017
20556,Alan,34,19/09/1979,180,70,Brazil,SC Braga,76,76,"RW, CM",Right,1,2015
135466,Artur Moraes,33,25/01/1981,192,90,Brazil,SL Benfica,76,76,GK,Right,2,2015
164029,Charles,30,04/04/1984,177,75,Brazil,RC Celta,76,76,ST,Right,1,2017
164082,Adriano,29,26/10/1984,172,67,Brazil,FC Barcelona,76,76,"LB, RB, CB",Left,2,2017
168530,Jardel,28,29/03/1986,192,85,Brazil,SL Benfica,76,76,CB,Right,1,2018
176957,Felipe Santana,28,17/03/1986,194,85,Brazil,FC Schalke 04,76,76,CB,Right,2,2016
177573,Weligton,34,26/08/1979,186,71,Brazil,Mailaga,76,76,CB,Left,1,2015
187896,Wanderson,28,18/02/1986,180,75,Brazil,FC Krasnodar,76,76,ST,Right,2,2016
209356,Hernane,28,08/04/1986,184,78,Brazil,Al Nassr,76,76,ST,Right,1,2017
187754,Marlos,26,07/06/1988,174,69,Brazil,Shakhtar Donetsk,75,81,"CAM, LW",Left,1,2019
184926,Fabiano,26,29/02/1988,197,91,Brazil,FC Porto,75,79,GK,Right,1,2016
188086,Jefferson,25,05/07/1988,176,78,Brazil,Sporting CP,75,79,LB,Left,1,2017
188045,Maicon,24,18/02/1990,183,73,Brazil,Lokomotiv Moscow,75,78,"LM, RM, CAM",Right,1,2017
189488,Bamba Anderson,26,10/01/1988,188,80,Brazil,Eintracht Frankfurt,75,78,CB,Right,1,2015
219514,Derley,26,29/12/1987,183,81,Brazil,SL Benfica,75,78,ST,Right,1,2018
194135,Leonardo,27,22/09/1986,173,70,Brazil,Jeonbuk Hyundai Motors,75,77,"CAM, RW, LW, LM",Right,1,2015
178311,Eder,27,15/11/1986,178,74,Brazil,Sampdoria,75,76,"CF, CAM",Right,2,2017
156272,Ederson,28,13/01/1986,181,74,Brazil,Lazio,75,75,"CAM, CM",Right,2,2017
166072,Danilo,30,10/05/1984,185,75,Brazil,Udinese,75,75,CB,Right,2,2018
168444,Ari,28,11/12/1985,180,82,Brazil,FC Krasnodar,75,75,"ST, RW",Right,2,2016
183722,Vagner,28,06/06/1986,185,80,Brazil,Estoril Praia,75,75,GK,Right,1,2015
184704,Marquinho,27,03/07/1986,182,79,Brazil,Al Ittihad,75,75,"LW, CM, LM",Left,1,2015
209297,Fred,21,05/03/1993,169,64,Brazil,Shakhtar Donetsk,74,83,"CAM, CDM",Left,1,2018
30110,D. Berbatov,33,30/01/1981,189,75,Bulgaria,AS Monaco,81,81,"ST, CAM",Right,3,2015
185373,I. Popov,26,26/10/1987,182,78,Bulgaria,Kuban Krasnodar,77,80,CAM,Right,2,2015
9676,S. Eto'o,33,10/03/1981,179,75,Cameroon,Everton,81,81,ST,Right,3,2016
157503,A. Song,26,09/09/1987,185,74,Cameroon,West Ham United,80,80,"CDM, CM",Right,3,2015
183284,A. Chedjou,29,20/06/1985,184,86,Cameroon,Galatasaray SK,80,80,CB,Right,2,2017
188829,N. Nkoulou,24,27/03/1990,180,77,Cameroon,Olympique de Marseille,79,85,CB,Right,3,2015
197061,J. Matip,22,08/08/1991,195,90,Cameroon,FC Schalke 04,77,81,"CB, CDM",Right,2,2016
190582,L. Kweuke,26,12/07/1987,189,94,Cameroon,Rizespor,76,81,ST,Right,1,2017
183569,E. Choupo-Moting,25,23/03/1989,191,87,Cameroon,FC Schalke 04,76,80,"LM, ST, LW",Right,2,2017
199069,V. Aboubakar,22,22/01/1992,184,82,Cameroon,FC Porto,76,80,ST,Right,1,2018
192667,A. Nyom,26,10/05/1988,189,81,Cameroon,Granada CF,76,77,RB,Right,1,2019
150565,H. Bedimo,30,04/06/1984,180,80,Cameroon,Olympique Lyonnais,76,76,LB,Left,2,2016
183975,J. Kana-Biyik,24,03/07/1989,183,90,Cameroon,Stade Rennais FC,75,80,CB,Right,2,2015
164959,S. M'Bia,28,20/05/1986,190,85,Cameroon,Sevilla FC,75,75,"CDM, CM",Right,2,2015
170903,L. N'Guemo,28,28/11/1985,173,70,Cameroon,Cameroon,75,75,"CDM, CM",Left,2,
134744,A. Hutchinson,31,08/02/1983,187,73,Canada,Besiktas,78,78,"CDM, RB, CM",Right,2,2015
181872,A. Vidal,27,22/05/1987,180,75,Chile,Juventus,85,87,"CM, CDM",Right,4,2017
174543,C. Bravo,31,13/04/1983,185,84,Chile,FC Barcelona,83,83,GK,Right,2,2018
176903,M. Iturra,30,23/06/1984,172,74,Chile,Granada CF,78,78,"CDM, CM",Left,2,2016
206655,E. Vargas,24,20/11/1989,175,70,Chile,Queens Park Rangers,77,82,"ST, CAM",Right,2,2015
187800,M. Isla,26,12/06/1988,177,72,Chile,Queens Park Rangers,76,78,"RM, RWB",Right,2,2015
193532,G. Medel,26,03/08/1987,171,76,Chile,Inter,76,77,"CDM, CM",Right,2,2017
24248,D. Pizarro,34,11/09/1979,170,65,Chile,Fiorentina,75,75,"CDM, CM",Right,2,2018
196073,E. Paredes,33,01/08/1980,178,78,Chile,Colo-Colo,75,75,ST,Left,2,2019
167397,Falcao,28,10/02/1986,177,72,Colombia,Manchester United,88,88,ST,Right,4,2015
193082,J. Cuadrado,26,26/05/1988,176,66,Colombia,Fiorentina,83,87,"RM, LM",Right,3,2017
207664,C. Bacca,27,08/09/1986,181,77,Colombia,Sevilla FC,81,81,ST,Right,2,2018
176619,A. Ramos,28,22/01/1986,186,81,Colombia,Borussia Dortmund,79,79,ST,Right,2,2018
210513,J. Quintero,21,18/01/1993,169,64,Colombia,FC Porto,78,86,"CAM, LW",Left,2,2017
212351,P. Franco,23,23/04/1991,183,73,Colombia,Besiktas,78,82,"CB, CDM",Right,1,2018
176550,D. Ospina,25,31/08/1988,183,79,Colombia,Arsenal,77,82,GK,Right,2,2018
177983,C. Zapata,27,30/09/1986,187,82,Colombia,Milan,77,78,CB,Right,2,2016
190919,F. Montero,26,26/07/1987,176,74,Colombia,Sporting CP,76,79,ST,Right,2,2018
204550,V. Ibarbo,24,19/05/1990,188,78,Colombia,Cagliari,75,81,"ST, RW",Right,1,2017
212067,C. Vargas,25,09/03/1989,185,86,Colombia,Independiente Santa Fe,75,80,GK,Left,1,2020
46590,C. Samba,30,28/03/1984,193,100,Congo,Dinamo Moscow,77,77,CB,Right,2,2020
193041,K. Navas,27,15/12/1986,185,78,Costa Rica,Real Madrid,79,82,GK,Right,3,2020
204713,J. Campbell,22,10/02/1992,178,72,Costa Rica,Arsenal,75,83,"RM, LM",Left,1,2015
195086,D. Lovren,24,05/07/1989,188,84,Croatia,Liverpool,80,82,CB,Right,2,2019
139997,D. Srna,32,01/05/1982,178,72,Croatia,Shakhtar Donetsk,79,79,RB,Right,3,2016
190502,G. Sertic,24,05/08/1989,183,76,Croatia,FC Girondins de Bordeaux,77,82,"CDM, CM",Right,1,2017
201144,M. Badelj,25,25/02/1989,186,76,Croatia,Fiorentina,76,79,"CM, CDM",Right,2,2019
190971,O. Alonso,28,11/11/1985,180,75,Cuba,Seattle Sounders FC,76,76,"CDM, CM",Right,1,2016
201262,V. Darida,23,08/08/1990,172,66,Czech Republic,SC Freiburg,77,81,"CM, CDM",Right,2,2018
155989,T. Sivok,30,15/09/1983,185,77,Czech Republic,Besiktas,76,76,CB,Right,2,2015
181281,T. Necid,24,13/08/1989,190,81,Czech Republic,PEC Zwolle,75,80,ST,Right,2,2015
201122,T. Kalas,21,15/05/1993,182,73,Czech Republic,FC Koln,74,81,"CB, RB",Right,1,2017
190460,C. Eriksen,22,14/02/1992,177,71,Denmark,Tottenham Hotspur,82,88,"CAM, LM",Right,3,2018
152039,D. Agger,29,12/12/1984,191,79,Denmark,Brondby,81,81,CB,Left,3,2016
135043,A. Lindegaard,30,13/04/1984,193,79,Denmark,Manchester United,77,77,GK,Right,2,2016
203965,V. Fischer,20,09/06/1994,180,71,Denmark,Ajax,75,84,LW,Right,1,2017
193290,M. Braithwaite,23,05/06/1991,180,77,Denmark,Toulouse Football Club,75,79,ST,Right,1,2017
172522,D. Wass,25,31/05/1989,181,74,Denmark,Ã‰vian Thonon Gaillard FC,75,77,"RM, RB",Right,2,2016
183781,A. Bjelland,25,11/07/1988,188,85,Denmark,FC Twente,75,77,CB,Left,1,2016
167706,N. Bendtner,26,16/01/1988,194,89,Denmark,VfL Wolfsburg,75,76,ST,Right,2,2017
130687,L. Andreasen,31,23/04/1983,188,81,Denmark,Hannover 96,75,75,"CDM, CM, CB",Right,2,2015
159240,M. Krohn-Dehli,31,06/06/1983,172,71,Denmark,RC Celta,75,75,"CM, CDM, CAM",Right,2,2015
